"X35S_0"	"X35S_3h"	"X35S_8h"	"BRN_0"	"BRN_3h"	"BRN_8h"	"GL2_0"	"GL2_3h"	"GL2_8h"	"GL2GL2_0"	"GL2GL2_3h"	"GL2GL2_8h"	"SCR_0"	"SCR_3h"	"SCR_8h"	"SCRSCR_0"	"SCRSCR_3h"	"SCRSCR_8h"	"SCRGL2_0"	"SCRGL2_3h"	"SCRGL2_8h"	"SHR_0"	"SHR_3h"	"SHR_8h"
"AT5G38790"	96.195	147.975	83.17	55.835	102.64	56.815	25.825	73.825	62.4	176.435	391.52	215.98	209.265	316.925	284.865	369.915	414.485	407.295	306.91	352.57	199.825	15.015	19.11	13.58
"AT1G72240"	259.365	274.245	209.025	269.105	262.37	158.485	207.935	343.64	138.39	540.715	1312.945	974.66	525.68	778.26	637.915	760.45	890.24	784.695	1018.695	1330.305	944.965	127.31	133.21	114.29
"AT4G03140"	71.715	80.57	73.135	46.68	82.625	124.57	53.455	54.215	100.165	125.615	151.46	228.885	177.09	207.68	209.015	304.19	188.53	247.91	266.63	233.76	288.67	64.495	75.58	79.07
"AT1G22640"	568.76	762.075	705.02	2110.685	2479.54	2142.68	890.115	1167.32	1320.945	1432.33	1920.535	2105.275	2070.595	2444.395	2145.54	2421.725	3205.8	2771.77	1443.08	1683.34	1485.305	258.915	295.035	336.135
"AT1G20190"	750.635	508.995	415.29	376.74	380.47	342.26	146.045	122.615	96.835	420.3	438.25	324.195	1411.165	1032.61	968.18	4177.15	4578.655	3905.525	936.96	964.655	568.11	321.09	162.7	211.165
"AT4G16270"	118.1	111.34	96.255	45.105	44.63	63.93	14.485	18.535	19.47	114.91	64.48	92.045	968.67	1220.7	1458.6	2267.425	2705.63	2126.055	667.755	871.74	626.255	19.9	18.29	35.57
"AT1G12090"	29868.775	29068.57	21689.955	9954.405	13276.49	8338.265	2150.23	3309.73	4643.58	6927.78	6461.47	7053.725	50201.5	39965.3	34064.075	71422.065	76747.73	89063.41	16110.42	14589.99	10866.125	3056.485	3108.59	3497.815
"AT4G28040"	1057	722.015	658.055	547.145	475.415	356.08	272.49	172.82	243.785	586.22	209.285	338.735	5135.94	3714.21	3959.93	6997.37	5296.965	4709.955	3026.95	1754.37	1502.2	262.51	205.685	234.97
"AT4G30420"	539.625	325.825	290.555	216.71	240.37	185.065	71.64	76.225	67.065	135.85	75.52	93.9	913.39	753.025	617.22	1028.775	704.1	676.305	560.375	644.945	523.25	54.88	52.62	64.94
"AT2G34070"	910.445	745.085	626.595	414.68	384.365	489.875	1056.355	1291.045	794.915	572.93	931.205	1200.7	1252.48	1619.005	1380.19	1936.235	2119.05	2113.44	830.395	932.37	649.87	1228.5	1218.93	1305.195
