"X35S_0"	"X35S_3h"	"X35S_8h"	"BRN_0"	"BRN_3h"	"BRN_8h"	"GL2_0"	"GL2_3h"	"GL2_8h"	"GL2GL2_0"	"GL2GL2_3h"	"GL2GL2_8h"	"SCR_0"	"SCR_3h"	"SCR_8h"	"SCRSCR_0"	"SCRSCR_3h"	"SCRSCR_8h"	"SCRGL2_0"	"SCRGL2_3h"	"SCRGL2_8h"	"SHR_0"	"SHR_3h"	"SHR_8h"
"AT5G58140"	13.9	37.845	25.675	22.28	20.63	35.165	23.645	17.31	14.55	21.405	16.81	19.545	20.75	23.89	21.235	15.51	23.325	18.545	21.925	32.305	17.965	15.455	20.935	14.325
"AT3G27990"	40.99	116.42	74.99	57.635	82.59	157.585	56.415	49.91	53.875	78.62	71.955	79.725	85.185	79.26	77.6	62.855	62.13	71.22	94.91	95.795	90.52	63.01	56.94	59.54
"AT5G65685"	131.645	242.945	196.725	187.23	177.68	250.79	87.835	95.2	99.86	116.9	149.065	129.48	148.095	153.11	118.215	134.4	150.16	139.19	211.74	228.925	173.535	163.44	190.22	144.27
"AT2G19250"	5.745	24.83	11.215	20.14	11.325	33.655	5.575	7.43	6.045	9.705	6.36	2.67	14.345	15.555	8.99	8.795	14.825	11.395	21.495	29.08	16.19	12.38	12.31	7.855
"AT1G62860"	20.78	50.805	28.395	36.175	9.3	53.205	23.26	19.06	15.78	31.79	26.115	24.39	28.03	33.795	19.525	21.45	30.275	22.04	43.59	44.73	29.85	40.79	27.89	31.69
"AT3G44205.1"	18.375	40.215	33.69	24.65	34.635	41.995	21.98	24.35	37.145	19.575	30.14	20.62	32.175	31.7	24.285	21.235	29.065	27.565	33.65	36.82	27.69	14.515	18.655	20.765
"AT3G03360"	39.155	88.64	58.465	55.49	52.6	133.775	38.28	48.625	40.06	50.18	63.78	54.475	108.47	83.755	99.095	71.44	94.225	69.59	131.955	158.89	131.1	40.69	51.8	41.525
"AT1G64270.1"	3.12	20.61	12.655	8.585	6	11.3	7.835	4.285	5.465	4.685	3.815	2.79	13.125	18.685	9.545	4.665	9.54	7.06	15.21	21.435	18.4	5.935	7.81	5.855
"AT3G15354"	102.635	198.325	118.82	113.28	172.96	198.335	96.845	102.15	105.69	124.6	119.715	129.735	143.915	183.71	182.245	128.62	137.205	129.55	177.07	182.915	148.69	124.795	145.56	125.84
"AT1G62250"	48.73	92.32	69.225	61.355	75.26	80.11	27.12	33.315	33.74	54.19	60.8	38.475	78.605	82.935	85.32	66.63	72.38	60.74	88.455	84.09	97.12	54.8	70.305	64.13
"AT5G57590"	34.76	77.03	69.55	51.225	26.645	73.155	38.205	27.64	38.815	29.095	19.335	29.605	134.32	103.665	104.48	86.92	68.93	79.98	126.43	113.04	110.76	83.78	73.34	73.675
"AT1G77800"	177.685	269.22	235.835	171.48	163.135	257.715	168.985	186.085	220.99	199.585	237.91	197.21	261.665	252.115	226.085	192.565	205.635	193.07	260.17	276.27	217.805	240.11	241.985	232.775
"AT1G27750"	146.485	238.885	164.41	169.78	195	240.745	215.77	186.48	198.68	146.66	210.65	206.8	259.835	267.625	246.81	191.805	204.275	191.845	266.37	260.315	226.79	246.795	244.985	249.04
"AT4G06598"	67.66	124.335	110.205	105.545	97.865	150.06	85.505	82.915	114.67	121.34	154.55	148.065	137.155	143.06	139.64	102.08	121.85	132.815	130.34	141.05	143.26	108.485	113.315	111.67
"AT3G07520"	3.83	16.23	13.765	11.46	7.97	22.355	11.055	10.185	7.855	13.13	17.81	12.75	15.695	11.04	10.7	10.39	17.53	11.995	20.815	16.68	15.565	9.02	14.605	9.54
"AT1G75100"	5.815	21.405	11.085	6.72	6.005	12.515	12.72	7.43	6.715	10.88	10.74	11.89	13.69	10.825	9.715	4.665	12.155	7.83	16.395	10.735	8.165	5.225	5.62	5.985
